	Control_1a	Control_1b	Control_2a	Control_2b	Control_3a	Control_3b	PB_1a	PB_1b	PB_2a	PB_2b	PB_3a	PB_3b	Standard_1a	Standard_2a	Standard_2b	Standard_3a	Styrofoam_1a	Styrofoam_1b	Styrofoam_2a	Styrofoam_2b	Styrofoam_3a	Styrofoam_3b	SControl_1a	SControl_1b	SControl_2a	SControl_2b	SControl_3a	SControl_3b	SPB_1a	SPB_1b	SPB_2a	SPB_2b	SPB_3a	SPB_3b	SStandard_1a	SStandard_1b	SStandard_2a	SStandard_2b	SStandard_3a	SStandard_3b	SStyrofoam_1a	SStyrofoam_1b	SStyrofoam_2a	SStyrofoam_2b	SStyrofoam_3a	SStyrofoam_3b
Mealworm_MAG_0032	17.54069393	38.48736035	0.763893782	221.7970013	42.12765636	7.224553304	100.4234579	224.9574159	355.626858	375.5768168	32.62585324	4.587758753	0.176020168	0.095514476	1.311492347	0.018516753	4.243089595	77.8960291	95.14582794	192.1804535	9.727156898	4.463558852	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mealworm_MAG_0033	32.07618384	16.10404363	11.04283023	21.78367104	16.37366764	9.365597991	25.14258816	16.76664888	3.66152895	18.09810742	13.16700202	2.959759641	69.01014819	97.04601762	0.004045677	2.907117965	53.14274073	18.48828781	21.99057509	10.29133979	22.31456437	15.94628618	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mealworm_MAG_0034	6.374710552	3.730427715	4.84755429	13.65923184	0.032716874	6.70615436	1.363068945	44.25878804	4.524736069	9.828239348	19.31711343	0.347739376	17.24108824	152.910142	2.413504399	2.51E-04	1.945057112	0.26261515	13.88208882	2.068732426	6.29E-04	6.04E-04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mealworm_MAG_0035	0.828902322	0.910181249	1.648334455	26.36646137	6.089249258	3.35409394	0.513997946	1.065904098	10.21720862	22.82529688	4.845086006	1.289757409	0.034422079	17.98449305	29.87298418	0.161075565	1.193984975	1.242845661	11.33027152	26.0032453	1.076005633	1.433539585	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mealworm_MAG_0036	182.1338076	27.3726784	10.44688576	45.7046303	83.63887243	53.89521111	9.632372457	10.71027943	29.71745943	29.49052296	77.2532806	53.70533672	116.822598	82.25976738	0.473723686	60.6822171	189.2037831	18.23874684	41.77860745	57.7214853	57.03704668	10.06647712	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mealworm_MAG_0037	5.993729216	10.14149358	0.774181913	25.70320886	88.54665289	19.39717159	35.78910189	46.20721736	10.56457017	3.698401459	8.94529984	6.560898074	66.31385329	0.662814446	0.001746875	28.68753756	23.86740916	33.44053603	6.700698018	24.1073633	69.79532609	4.420842586	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mealworm_MAG_0038	19.14701434	20.21519682	0.057923958	0.20502729	0.205556544	0.150837516	0.965418907	1.23872002	0.089973255	0.199528924	0.286532474	0.104615961	0.144251238	0.149308558	0.049985142	0.092090273	0.354894506	0.274271413	0.11967031	0.160687529	0.110290745	0.032607954	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mealworm_MAG_0039	4.006909675	2.275721747	0.159112607	1.293053174	0.022549862	0.231622078	0.855048016	3.643649535	1.312395512	2.545639712	0.560377041	0.169318363	2.85E-03	0.233922423	22.22911006	1.715863094	0.100955993	0.02475301	0.526357852	0.304552739	0.268492399	0.004892283	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mealworm_MAG_0040	4.357756729	6.778974001	0.869663989	6.951661374	2.057372569	0.785655474	1.993313914	8.880570681	1.516785174	8.921123865	0.772432445	0.038592793	0.069094169	0.074091244	0.00319044	0.021718056	11.19471602	0.742065606	0.099960715	0.335457475	0.035767524	0.022544495	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mealworm_MAG_0041	0.05953112	0.011409022	5.124737156	6.662269285	0.072449507	0.692021528	0.085168124	0.219390601	0.912277794	2.247066727	14.32524738	0.432566172	4.44E-05	15.82717626	0.345977469	4.22E-04	1.834765997	0.014982665	2.199876883	3.061280208	0.136508721	0.016558619	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mealworm_MAG_0042	2.58604466	2.679423253	0.123611737	0.752844486	9.242346092	14.70036515	2.210068944	1.228580863	0.868505864	5.25130974	53.72462311	21.80317178	0.099346807	0.04770215	0.002374217	0.52829587	9.392880138	0.783317229	4.454727392	3.720571694	18.66090698	15.86266398	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mealworm_MAG_0043	28.06509037	12.57656993	14.59501578	14.23207756	6.858107671	11.13323491	13.03126794	16.80939215	3.784923225	12.54770107	4.224107602	3.146759565	16.26779077	12.99589684	0.002940846	6.827323215	77.8671903	6.145775326	19.47892519	14.19705721	14.14784525	5.213661931	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mealworm_MAG_0044	11.78093918	23.61178077	0.424001737	16.51791027	5.910337005	9.698963061	28.68282499	11.40993766	14.24311825	1.461876649	0.067339107	13.60418653	0.285934331	0.047801411	6.44E-04	0.14484579	0.146548054	1.453426673	1.157263422	5.85693806	1.170590155	0.43160825	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mealworm_MAG_0045	36.67638933	28.48549316	13.40298402	14.78565492	11.69438798	9.502148321	17.32775759	35.87160814	2.694293213	39.93813337	11.4091572	3.77978907	58.45056855	20.58422049	0.008538662	0.307589241	26.76137452	23.2453215	9.738763023	8.366284231	3.493645196	10.90730107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mealworm_MAG_0046	64.67976066	0.69617702	0	1.96E-05	0	0	2.63E-03	1.18E-04	0	0	1.96E-05	0	0	0	3.93E-05	3.93E-05	1.57E-04	1.57E-04	0	1.96E-05	0	9.82E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mealworm_MAG_0047	0.339484482	0.168078986	1.334600788	19.65866574	1.130007557	0.764968261	0.344796583	0.189843126	5.965824111	14.74211041	4.115665917	0.970335099	0.058072089	1.213118722	110.4638925	0.201447229	0.110264766	0.181694467	9.13823117	14.7620179	0.514783799	0.603310212	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mealworm_MAG_0048	125.233575	17.40083376	15.99106525	19.81769943	61.78974764	155.637541	30.4981218	83.75085904	24.31520649	62.1915673	62.83869184	26.57858094	219.3426285	585.5305604	1.852611901	173.3904833	4.480600743	4.894912054	23.10534705	5.160416517	5.720369178	4.727467088	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mealworm_MAG_0049	6.318026023	34.6959806	0.420455594	3.459291825	3.689105818	6.847476172	17.88236419	10.89368153	1.21382997	7.903430138	5.719149189	4.209005102	1.057753404	2.212340325	0.02349157	21.32536219	81.60107175	29.97975137	5.856539278	3.378297323	5.570131959	3.714278181	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mealworm_MAG_0050	110.5764331	204.6910732	0.069822958	43.32871192	0.060138049	0.026633499	215.7974388	522.4279041	22.79791565	46.48687564	0.106141367	0.051958228	0.845139179	1.39243469	0.275365518	0.07937699	22.31353933	286.9383953	2.682523451	85.64515454	0.056342612	0.030428937	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mealworm_MAG_0051	200.4439175	128.4428109	14.49824145	9.168319585	8.248221562	71.72298998	33.42762445	23.80950108	7.188285693	42.4570289	10.22236922	11.50133665	216.9838393	1.856550234	0.006458949	4.017880154	61.84420187	22.21627235	20.0759897	5.033589719	6.874453932	44.24986462	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mealworm_MAG_0052	0.029672764	0.042872268	1.04E-04	1.04E-03	7.31E-04	0.015532926	9.40E-04	3.03E-03	0.007000265	42.65466754	2.96E-03	4.18E-04	2.47E-03	3.48E-05	60.9229553	2.44E-04	5.92E-04	1.04E-04	0.822200242	1.519649499	8.36E-04	0.003935472	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mealworm_MAG_0053	0.010642397	0.010907794	0.222455299	10.60280025	0.023699902	0.024443012	4.83E-03	0.012579791	1.075041375	2.703779352	0.068206886	0.01342906	1.59E-04	49.60355079	0.837219622	3.85E-03	0.012526712	0.009952367	2.267467598	3.243701877	4.25E-03	0.003927867	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Superworm_MAG_0001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.490947223	0.400477669	13.88486435	14.62612846	0.433813768	0.170654681	0.408922814	0.167203414	0.393888887	2.830666213	0.268623593	0.266035143	0.393392114	0.33568798	0.083170299	0.980787251	1.67E-03	0.049154405	0.672578675	0.094543791	0.88857045	0.237614484	1.087332038	0.141580373
Superworm_MAG_0002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.39763068	1.398723195	12.81301563	4.748011947	17.57830506	5.850642963	7.793899461	1.248895836	8.849029952	5.427955196	6.985587716	4.955408604	7.440856829	1.776619974	2.448585142	28.19703062	2.881191153	5.249928582	1.236067349	0.471927747	1.020558807	18.02323779	8.085475745	7.897246553
Superworm_MAG_0003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.349426977	1.647262325	0.468244812	0.200931682	0.439659918	0.415012165	1.627939086	7.560260756	1.266434543	7.093565803	0.109390027	0.152173627	0.458033243	0.132800393	0.081330085	0.102928116	0.016323512	0.076330541	3.629356624	0.994134368	0.486105683	0.231653881	0.075605607	0.038334005
Superworm_MAG_0004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.080420619	1.882692114	10.6814325	1.834872432	5.114982202	8.982860355	24.21730253	2.9364489	14.5877408	5.940997245	1.995812634	4.844085123	3.054355444	11.14490621	27.09033661	28.5796216	2.182832612	20.48355473	7.635574274	6.278797264	11.54914273	20.1915667	17.6081682	4.060373667
Superworm_MAG_0005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.223337242	0.113478566	26.3148226	426.9541372	1.202749921	0.684424865	0.441427304	0.313817883	1.138189683	30.57048468	1.63074378	0.975410874	0.437325869	0.81882573	0.809443905	110.1699865	0.034521794	2.109333072	2.547638636	0.569435244	6.619483376	4.160399202	6.132309299	7.804316503
Superworm_MAG_0006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.547145882	0.112003197	1.754476368	9.907391952	17.65595325	1.603899839	0.681912152	0.322270385	4.853878697	2.971108094	20.51111945	5.643892334	0.573366871	0.236173821	1.979203932	35.41852866	0.100575432	1.070530147	2.254080526	0.605486659	14.69011524	25.09881257	29.71670236	3.273537067
Superworm_MAG_0007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1454.923383	654.0058312	419.9850906	198.203948	675.6832927	824.581179	663.4887301	1252.089361	250.7916094	410.9945893	645.3467482	282.3132231	716.6650047	496.569576	938.1474746	86.13433103	751.2217767	429.2145948	506.6710849	328.571675	291.9970429	51.34850108	214.5661026	391.7632686
Superworm_MAG_0008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.33397135	0.562335103	0.646797659	1.21655375	0.811019559	0.231352544	6.359347005	0.719445223	1.494905883	1.189408558	0.145929816	0.164563656	5.048533693	1.949034523	6.985411467	0.679947992	0.26562579	0.865521506	12.03282225	0.931757075	1.530611249	5.326104669	0.512634014	0.158395773
Superworm_MAG_0009	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27.37410861	7.761489739	13.47081259	14.11761985	35.03772972	8.182381241	46.8350452	38.03451218	27.81285338	49.46348062	13.29707462	6.000277529	10.34302154	22.9738844	2.18089093	34.41382428	0.687562355	4.873208891	10.54358172	4.189031042	9.292019674	16.04250112	6.308464987	2.44011587
Superworm_MAG_0010	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.904716496	0.310203076	14.17689658	11.58658949	11.86035634	1.794302201	0.854227127	0.543922111	179.4517877	80.96345426	7.367414071	7.204062683	3.282260479	96.03513548	8.421559878	37.7289133	0.475156376	8.800572378	4.747078403	2.288885407	8.57816867	13.1840312	9.332858779	21.73096258
Superworm_MAG_0011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.885206281	0.146937564	0.403069759	0.055269677	0.034524662	0.030173194	0.562321371	1.750966942	0.180676544	0.907432004	0.063262476	0.262870925	3.08E-03	0.006874714	1.21E-04	7.55E-05	0.008838918	0.009382851	5.875855663	1.395687777	0.191358792	0.024582768	0.005711301	0.319349343
Superworm_MAG_0012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.5860592	2.166917007	2.183997009	3.500239409	7.085367213	1.402665635	12.46194715	4.247194328	1.665969211	2.256154114	2.053181511	1.659180501	27.01521065	4.744265671	3.126801304	2.2495425	3.785345568	11.79712578	1.881023751	5.276421858	0.549688769	4.120943991	5.023389895	5.613378023
Superworm_MAG_0013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.036291952	0.011486675	0.750066676	0.040285882	0.009737268	0.012245852	0.176508605	0.205835935	0.007624776	0.1880778	3.23E-03	0.00991881	1.25E-03	5.936597515	1.19E-03	2.31E-04	2.15E-04	5.45E-04	0.009902306	0.002624111	0.024376177	0.033667841	3.89E-03	0.023369442
Superworm_MAG_0014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.715078147	12.69511902	7.436750728	2.425067243	1.850252164	0.732338256	20.50467116	13.64010324	7.298556657	22.79667983	15.33899999	2.797326717	5.198084191	3.652478341	30.11237204	31.02089161	1.697993524	4.664611204	10.6429048	4.655011167	14.01589821	7.388363448	7.88710082	2.217814846
Superworm_MAG_0015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.023036551	1.26E-03	0.005378905	4.34E-03	0.528542324	4.929339738	2.08E-03	9.27E-04	1.52E-03	0.004674083	0.322993965	3.616590175	2.67E-03	0.006936933	6.31E-04	1.78E-03	0.00289348	1.89E-03	0.009644933	1.48E-03	1.63E-03	9.27E-04	4.08E-04	1.37E-03
